具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
马家沟校大成街,洁净街,2室1厅,46,8503,东 西,54.1,7,简装,板楼
西大桥商圈,松明街,2室1厅,44,7972,南,55.2,6,简装,板楼
革新教堂,巴陵街,2室1厅,56.8,8352,南 北,68,7,精装,板楼
哈特百脑汇教化工大,上夹树街,2室1厅,47,7945,南,59.16,6,简装,板楼
南岗会展商圈,红旗示范新区,1室1厅,64,13571,南,47.16,7,毛坯,板楼
师大附小沙曼小区,市委党校家属楼,2室1厅,69.8,8667,东 西,80.54,7,精装,板楼
南岗会展商圈,红旗示范新区,2室1厅,66.8,13207,南 北,50.58,8,简装,板楼
南岗会展商圈,泰海花园小区,2室1厅,76.8,13964,南,55,7,简装,板楼
南岗分局十三中,华山小区,1室1厅,24.8,7086,南,35,7,精装,板楼
哈南商圈,鲁商·松江新城,2室1厅,131,13937,南 北,94,22,精装,板楼
西大桥商圈,宏业小区,2室1厅,63.8,10477,南 北,60.9,6,精装,板楼
哈南商圈,英伦名邸,2室1厅,119.7,12451,南 北 西,96.14,29,精装,板楼
哈特百脑汇教化工大,曲线街,3室1厅,56.8,8353,东 西,68,7,简装,板楼
哈西商圈,枫蓝国际,2室1厅,102,12593,西北,81,33,精装,板楼
师大附小沙曼小区,学府名苑(南岗区),2室1厅,118,11800,东南,100,29,精装,板楼
南岗会展商圈,信恒现代城,2室1厅,109.6,12455,南 北,88,8,简装,板塔结合
西大桥商圈,一匡小区,1室1厅,32.8,9372,南,35,8,精装,板楼
哈西商圈,阳光家园北区,1室1厅,48.6,9530,南 北,51,7,精装,板楼
哈西商圈,枫蓝国际,2室1厅,108.8,10355,东 北,105.08,33,简装,板楼
儿童公园,永新街,2室1厅,42,8750,南 北,48,6,精装,平房
宣西宣庆体院,十字街,1室1厅,29,8631,南,33.6,7,简装,板楼
南岗会展商圈,泰海花园小区,2室1厅,78,13929,西,56,7,精装,板楼
西大桥商圈,七政街,2室1厅,76.8,13715,南,56,8,简装,塔楼
王岗商圈,哈西骏赫城,1室1厅,48,8422,南,57,14,精装,板楼
马家沟校大成街,文教街,2室1厅,55.8,8747,南 北,63.8,7,精装,板楼
儿童公园,比乐街,2室1厅,42.5,9464,南 北,44.91,7,精装,板楼
南岗分局十三中,先锋领地,2室1厅,95,13381,东,71,23,精装,板楼
革新教堂,巴山街,1室1厅,58,7734,南 北,75,7,精装,板楼
哈西商圈,领域佳境,2室1厅,68,11152,南,60.98,17,简装,板楼
哈西商圈,龙泽金水尚都西区,2室1厅,136.5,13783,南 北,99,25,精装,板楼
南岗分局十三中,辽河小区,2室1厅,42.8,8739,南 北,48.98,7,精装,板楼
宣西宣庆体院,十字街,1室1厅,46.5,10605,南 北,43.85,8,简装,板楼
革新教堂,国庆街,2室1厅,32.8,6694,南 北,49,6,简装,板塔结合
哈西商圈,鸿朗花园南区,2室1厅,62,10592,东 西,58.54,7,精装,暂无数据
南岗分局十三中,金河小区,1室1厅,33,6875,南,48,6,简装,暂无数据
儿童公园,人和街,2室1厅,46,7797,南 北,59,7,简装,板楼
新发小区大润发,新发小区F区,2室1厅,39.8,9477,南 北,42,8,精装,板楼
哈西商圈,西典家园北区,2室1厅,108.6,12085,南 北,89.87,11,精装,板楼
南岗会展商圈,红旗示范新区,2室1厅,61,8715,南,70,8,精装,板楼
哈西商圈,汇龙北纬,2室1厅,127.9,16192,南,78.99,26,精装,板楼
宣西宣庆体院,宣化街,2室1厅,65,9421,南 北,69,7,精装,塔楼
南岗会展商圈,信恒现代城,2室1厅,76,14075,南,54,7,简装,板塔结合
